,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,laisse,leash
14,ville,city
15,chaque,each
16,parlé,speak
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,attention,Warning
29,voici,here is
30,pourrais,could
31,affaire,case
32,donner,give
33,leurs,their
34,donné,given
35,train,train
36,corps,body
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,dont,whose
42,trouve,find
43,premier,first
44,perdu,lost
45,main,hand
46,côté,side
47,pouvoir,power
48,vieux,old
49,sois,be
50,tiens,here
51,matin,morning
52,tellement,so much
53,enfant,child
54,point,point
55,venu,came
56,suite,after
57,pardon,sorry
58,venez,come
59,devant,in front of
60,minutes,minutes
61,demandé,request
62,chambre,bedroom
63,mis,placed
64,droit,law
65,aimerais,would like to
66,aujourd'hui,today
67,mari,husband
68,cause,cause
69,enfin,finally
70,espère,hope
71,eau,water
72,attendez,Wait
73,parti,left
74,nouvelle,new
75,boulot,job
76,arrêter,Stop
77,dirait,would say
78,terre,Earth
79,compte,account
80,donne,given
81,loin,far
82,fin,end
83,croire,believe
84,chérie,sweetheart
85,gros,large
86,plutôt,rather
87,filles,girls
88,bureau,office
